x_position (mm), y_radius (mm)
-9.223590898655447745e+01,2.500000000000000000e+01
-4.223590898655448456e+01,2.500000000000000000e+01
-4.223590898655448456e+01,2.500000000000000000e+01
-4.028041120510064843e+01,2.495957728688708244e+01
-3.832825435880371856e+01,2.483837820907561422e+01
-3.638277367488895919e+01,2.463660983315696740e+01
-3.444729297447015171e+01,2.435461687701682365e+01
-3.252511899385707039e+01,2.399288112089041647e+01
-3.061953573505186554e+01,2.355202058424911371e+01
-2.873379885508682463e+01,2.303278846992451889e+01
-2.687113010378885747e+01,2.243607187727403129e+01
-2.503471181947405810e+01,2.176289028658651858e+01
-2.322768149197596443e+01,2.101439381731731260e+01
-2.145312640229692036e+01,2.019186126312843754e+01
-1.971407834804016090e+01,1.929669790709106536e+01
-1.801350846363456526e+01,1.833043312078297049e+01
-1.635432214420124097e+01,1.729471775138284784e+01
-1.473935408173476347e+01,1.619132130122562074e+01
-1.317136342207940203e+01,1.502212890463734141e+01
-1.165302905097476227e+01,1.378913810721483912e+01
-1.018694501722441714e+01,1.249445545305258776e+01
-8.775616100807056341e+00,1.114029288574742793e+01
-8.775616100807058118e+00,1.114029288574742793e+01
-6.632661607529816372e+00,8.997338392470185298e+00
-6.632661607529816372e+00,8.997338392470185298e+00
-6.283574154501931019e+00,8.665727184775473546e+00
-5.934486701474046555e+00,8.365960656079312940e+00
-5.585399248446161202e+00,8.094237581010329308e+00
-5.236311795418275850e+00,7.847619979648679411e+00
-4.887224342390391385e+00,7.623787522982743425e+00
-4.538136889362506032e+00,7.420876199410365359e+00
-4.189049436334620680e+00,7.237368421052632783e+00
-3.839961983306735771e+00,7.072015893520308794e+00
-3.490874530278850862e+00,6.923784116285053969e+00
-3.141787077250965510e+00,6.791811613163089234e+00
-2.792699624223080601e+00,6.675379471531790898e+00
-2.443612171195195693e+00,6.573888276043261314e+00
-2.094524718167310340e+00,6.486840469236788920e+00
-1.745437265139424987e+00,6.413826783666520370e+00
-1.396349812111540523e+00,6.354515796886069268e+00
-1.047262359083655170e+00,6.308645937888286426e+00
-6.981749060557698172e-01,6.276019467598084489e+00
-3.490874530278853527e-01,6.256498095688117544e+00
0.000000000000000000e+00,6.250000000000000000e+00
0.000000000000000000e+00,6.250000000000000000e+00
4.503026747490610937e+00,7.825250708756990470e+00
9.419109246418877035e+00,9.468003412045128186e+00
1.088939855851534944e+01,9.936501483988287475e+00
1.218122363655024110e+01,1.032826817863946189e+01
1.340019699617078963e+01,1.067935552240390429e+01
1.458906880278524554e+01,1.100379194625029911e+01
1.577055748157011372e+01,1.130848035595763434e+01
1.695874920447093714e+01,1.159719208901419663e+01
1.816336372477771732e+01,1.187206619580861755e+01
1.939167905189592034e+01,1.213428554298446294e+01
2.064951358432655582e+01,1.238442002243876061e+01
2.194177394754801114e+01,1.262261570074580774e+01
2.327278227230636887e+01,1.284870533196589903e+01
2.464648285864436872e+01,1.306227557847240206e+01
2.606657892282134270e+01,1.326270889330164771e+01
2.753662686347272270e+01,1.344920978437436787e+01
2.906010370298583467e+01,1.362082100225527270e+01
3.064045704266301584e+01,1.377643294737526070e+01
